parse_cycles,queue_cycles
11801,107248
14495,89757
15010,64075
10609,118092
12992,86517
16627,57905
20433,108672
15626,86192
16813,172369
12434,93897
13969,132069
9006,150825
6603,183193
10729,133549
8418,59219
13346,135107
19821,97082
14242,113481
8377,73705
12481,97183
19314,56904
14913,158180
11823,211639
12905,55253
11779,78121
14924,127267
12852,63327
12420,74594
8983,204842
5739,165897
15020,64126
17729,70022
11294,74928
12972,51968
9658,103285
8266,60985
10687,122908
12812,78266
16659,82426
16956,37274
15091,75391
8047,104071
14435,77567
20813,90027
13800,123455
13850,114404
13379,82808
26079,93387
11142,88668
16146,163690
13178,58734
16327,79491
10428,97752
14975,174560
12202,71875
11235,53966
10033,60200
16015,91606
13875,189156
21425,58054
12287,45702
13030,120183
14145,60727
16106,111325
12290,91671
8486,194240
8753,117723
12780,102070
10659,58754
12414,55418
16783,82494
17201,55122
7755,154241
13634,98741
25959,149264
10324,105747
7721,88010
10750,46434
12608,47697
12537,125866
11517,95335
12315,45961
13503,135623
14326,45783
11304,139820
15037,59390
8920,159348
16475,145330
12146,47578
18697,110043
13212,99163
10652,90026
9233,143636
13253,167029
9256,249105
12451,74612
12166,72478
13497,92128
16005,107376
10639,49370
11625,105042
16308,105836
10247,129300
12958,158594
11949,169951
12369,74112
8535,156851
15253,83206
15762,93372
15772,72515
17558,146284
13579,61196
13691,77154
20641,96817
9499,87174
11404,82678
7670,53364
8461,104677
19657,64197
18948,43393
8945,75579
11944,148335
16606,96489
16891,114146
9625,60743
12277,115226
15831,206711
15899,57448
11799,68968
10104,92535
9931,95815
13951,69432
12021,128537
9577,96196
9302,59935
16160,89626
11719,133702
10819,50707
13403,121858
12799,62433
16623,87070
14449,48582
12484,126403
14589,111428
7411,116003
11792,99019
13258,129989
13833,117580
8298,114202
19735,55846
14558,135044
14531,144929
13782,54532
11601,91606
11682,62786
8625,204619
12489,180145
9602,242265
16904,209063
16325,57504
12117,129678
7127,91677
13739,70444
11313,116393
19357,86450
13888,113370
10146,107700
13478,83408
9252,73760
10107,51258
16672,154240
12967,42237
10437,150716
15699,107363
13511,59535
20119,109392
12342,70502
15806,134294
18758,86999
26053,77178
15251,72618
15401,92241
8814,89186
15257,130340
14268,101889
9224,129642
10321,96545
14379,125582
13791,53077
12642,78712
14226,108311
13345,169416
19464,137457
11912,43257
13912,139716
11138,44132
12128,82707
16342,73368
10183,185021
15088,97549
15087,130109
12033,109653
13602,92052
8510,98305
21923,51167
13002,69853
10001,51085
12534,158429
13472,83162
18102,68123
15876,71136
14834,67127
14446,65124
13284,111539
7628,130303
12072,103954
14243,73470
14971,84545
9489,98053
13965,86480
9573,25938
9264,67837
13044,126888
9739,75676
14298,85661
13848,90146
12145,82631
11840,119789
13048,112338
9136,89226
19381,43048
15581,159601
17640,155483
18478,96238
15980,115621
7824,53460
13769,124004
12364,87666
11845,116811
18389,88217
12194,54200
11397,88333
7903,48804
12541,74309
11837,78128
13723,79509
13891,155087
8699,166494
13224,93447
11024,182219
12498,63277
11068,96017
9406,97221
15351,108093
13860,213605
13043,68562
16367,142315
7985,85994
10940,93044
11952,135001
14381,146325
18428,93991
13212,86976
13347,77261
10372,113796
10358,159428
8025,84043
14962,67016
16719,55904
8739,157939
12128,129410
15612,84814
20771,163118
7801,85842
15693,117779
9497,86571
11385,73824
15459,73690
7745,101907
11930,118869
18044,147328
15216,108153
12885,55573
12243,48028
12476,41539
12660,68829
22558,83073
10508,81199
17961,66807
10027,100290
8275,43815
9522,74731
7908,62322
11640,106626
8640,149827
8777,83653
11237,117735
11583,117782
12757,73423
9483,138221
9872,96904
11885,144835
14854,96954
11257,87198
10825,166100
16856,64462
16485,72732
17393,66007
10430,93746
13445,51063
9680,96820
17124,109945
13811,54988
9299,193220
11122,68677
14186,124616
12416,151692
11239,109300
14980,118525
12043,89805
14375,108597
20994,77015
20998,104709
20255,146661
14423,211346
20327,86577
19280,101024
18757,270199
16645,63844
11206,49431
12097,104152
11461,117372
9829,60745
14173,201975
16643,61566
13202,140929
11911,135117
10928,163575
7748,167308
13891,72475
10568,97334
16179,120558
18582,236676
20656,105096
16808,97520
17374,100849
12675,158103
11100,159585
16390,181932
9708,93788
12884,127128
10105,78460
9151,55277
18178,66935
23241,119456
10937,98348
17771,47859
12345,94711
11896,102696
13685,81317
12188,101767
14155,114243
13539,97936
12087,91692
17461,170072
14472,155701
11066,69818
10668,135636
12837,88447
8590,148193
12395,115973
15790,68403
10923,169846
16318,86548
11571,77297
11997,101809
11314,123305
21033,89107
12457,142389
8851,150539
10684,52878
9702,92689
10987,147086
8456,161582
11739,92992
8945,120152
13064,68780
10394,150522
13259,140089
13440,132121
10796,84854
14478,91865
14239,98806
12550,257386
14208,63457
12576,123759
11486,140226
13763,58264
11650,73754
9574,118757
9937,86820
15357,118438
6692,58785
13468,83168
13200,53009
9938,80392
12900,84171
9520,155526
10811,59069
12195,42876
14455,75554
13749,159670
18336,91826
13244,132580
12363,116192
8428,81816
12220,140039
15129,272275
9475,208455
15324,113158
12079,150307
11134,102941
18495,67044
15174,117280
13975,58150
14042,246171
15765,121368
11567,124363
25822,81164
10613,77821
9299,86392
12873,141565
17968,69381
12822,177616
8665,79254
14307,123513
8634,106560
10280,89280
7849,81109
10961,183414
7977,141157
10062,76673
10578,120608
12963,82788
13413,133424
10085,96346
14162,24844
8514,110544
17043,169658
8712,182719
9464,64919
11024,125593
22239,75709
10284,151068
21159,85377
14625,177926
10348,78305
16480,101985
10982,78330
21968,54904
17420,72435
16520,184128
10937,61472
10855,200273
14049,54228
10467,114044
14809,138445
15700,75926
9917,53343
14461,37104
10935,60433
9353,132738
12835,83944
10343,203320
15409,123844
14535,148953
12093,100729
9969,110458
11787,100189
6849,82760
11995,133445
10064,70389
14148,59713
12791,201079
7795,99556
9262,119679
13104,106823
11306,153239
15305,160648
13158,67033
9999,28261
13304,45830
12863,94225
11494,100706
15272,60782
11789,80745
13156,51354
14641,105299
14749,91390
15883,105368
12446,202155
15249,147159
16667,215958
13453,135977
31152,134423
13725,61400
14857,115755
7434,81603
14392,77532
22212,106951
13265,207046
11039,86188
10851,109842
13764,169018
15838,153859
9530,120794
15244,62834
12191,130482
18065,101316
13757,89515
19104,116094
12947,80312
14976,52177
8950,125908
18905,239323
12261,115121
16145,78114
23300,96546
12291,104969
13812,101975
9119,170812
12517,64812
15311,104867
13367,76655
10611,64151
7922,133019
14479,59836
8201,116818
10781,81609
14895,137898
12089,70724
16941,122241
10270,63293
14513,73406
12486,57512
21876,93056
13618,50143
11729,70805
12159,115586
16582,124632
12442,83016
18088,108483
15253,134081
8742,121929
11011,182680
9269,59919
14610,97789
12587,37342
16882,160243
23091,89714
12590,72839
10571,33901
10826,67555
13300,87203
10505,107033
16680,95926
9631,144864
14531,84099
12560,122908
11247,80311
11686,66858
15238,56648
11395,166819
14551,122776
12849,93122
13679,64721
23828,146706
15358,63925
8592,73947
14306,147579
12222,140621
13604,123793
11654,88792
15590,120498
11770,60185
16267,60666
10668,67078
13753,72474
13265,48692
11925,150954
9790,80984
11813,90619
9638,21561
13484,73540
16559,56275
14882,61893
16407,55081
15040,146408
17744,120775
11500,112465
16547,78743
14404,106128
20281,111622
13202,115224
9632,132112
13596,141065
16574,78527
11150,140100
12348,148571
11344,109976
16444,122481
19451,252796
15168,279717
9845,31412
15336,125942
10770,105682
13448,117692
14155,196823
14043,105040
10575,137800
14540,126010
11088,105996
10372,50010
21820,243812
14851,107639
16196,110572
13172,130723
13847,95661
17053,88377
11799,90896
12418,63064
11646,100048
10733,136777
18926,83510
13049,65745
7061,156358
12463,108555
11522,115637
11572,62658
15509,89384
15257,110658
18855,87549
11786,149252
12908,106203
9216,110866
13477,93478
17438,112227
9093,67393
13851,120656
14157,39811
14319,81685
16402,70029
10390,98533
13957,114916
11328,50558
17621,83689
16711,144885
12480,101232
10023,161372
12372,121935
11968,73706
9908,95195
10391,116236
17050,136719
10068,93608
16191,38685
8660,93955
18745,70324
11604,146614
15115,63641
12711,51441
13528,78944
12528,67948
15758,88144
12517,134894
12409,148957
14000,64331
10581,204799
13431,172700
11408,59061
15561,75225
11492,63381
12424,109743
10105,81306
15761,183929
13178,155438
17513,56573
10054,99421
16262,82464
8870,92121
14344,122804
7992,201178
18174,82594
14662,171662
10748,84279
12285,61771
11426,77213
11748,89486
12004,94756
8525,49943
14762,87911
10254,48689
11293,59017
14586,101860
13544,178691
10874,90572
13702,56343
12519,104206
12087,159070
8943,158255
11725,168768
12731,149591
11815,46767
16952,70160
13639,104587
15536,69288
8348,105298
11437,47296
10764,60433
11356,58563
8484,57239
10002,62642
17482,147678
10687,87728
11917,136723
12730,103471
10287,202092
12519,69010
15998,89760
14145,146257
13177,89939
12000,170392
14332,193193
10404,63062
13110,82446
10066,101986
11443,62462
10861,103147
11595,67990
10095,185030
11934,63510
19608,99581
15609,56439
16030,68638
7455,79939
13599,108007
11676,104805
11159,141788
15207,71522
15149,42733
8485,167102
9630,161300
10068,77397
10906,202126
13382,44771
12521,184751
7222,72887
12563,49149
10890,110508
11456,99406
10125,169361
15205,111106
16743,144243
9845,180573
13171,95324
9719,77605
17909,142570
13445,108312
13413,106750
11621,69360
13303,130608
15990,118524
11669,110293
15431,103796
11430,72680
15418,102425
18906,69649
15898,94790
10011,132640
15864,87004
8442,116850
11003,68285
13411,95111
12049,82171
10048,89949
8241,188598
20405,102780
16294,72754
10394,98805
12579,89757
14497,74998
9161,138637
13910,120248
10512,134108
15404,81243
12629,181978
6335,276657
10337,146906
8193,77986
12163,84536
6635,54424
15592,227983
8351,90811
15097,124523
11065,84839
14961,101403
12830,60224
14858,131762
15142,69263
9085,77026
10247,66958
10510,121326
13753,65822
19450,75919
20162,71774
13093,63193
6727,79783
14904,126746
9575,172393
14438,108501
11000,111362
11256,108881
13171,93523
14124,131912
20765,38938
13310,112111
13942,45416
16941,110212
9435,64796
13657,100435
13680,177862
11065,86525
11316,157160
10523,63512
15688,95398
14502,111419
11803,150178
8060,117386
13601,100215
11961,155481
19919,76732
12893,93079
7512,101435
12493,110663
11461,81157
16936,77301
14780,66521
8588,113669
16070,98414
11191,114780
14784,95749
11415,141227
13580,98530
9299,51075
8829,151878
13534,48322
11687,284341
11137,39718
11753,83552
15139,217112
11464,133251
11701,70108
20150,91662
13676,62237
11532,99773
18006,89009
21510,92066
12723,100074
17469,43020
15661,128596
13211,71664
16446,157377
11387,86869
17817,129790
14334,113396
11251,113545
14967,131037
23557,144993
13891,114897
14840,62971
7759,101667
8774,114214
13237,137330
13399,177467
11320,141884
14975,109309
13096,137958
13192,155366
14121,194822
19466,100207
13120,121730
12362,73035
14886,127868
